round,width,height,branching,astar_success,astar_median_steps,astar_median_ratio,q_success,q_median_steps,q_median_ratio,q_epsilon,q_episodes_trained
0,15,15,0.02,1.0,36.0,1.0,0.0,450.0,0,0.3747658771519215,13
1,17,17,0.025500000000000002,1.0,56.0,1.0,0.0,578.0,0,0.35466140420052306,24
2,19,19,0.030250000000000003,1.0,58.0,1.0,0.0,722.0,0,0.33062604318988886,38
3,21,21,0.035500000000000004,1.0,68.0,1.0,0.0,882.0,0,0.3113250228274569,50
4,23,23,0.04125,1.0,78.0,1.0,0.0,1058.0,0,0.2990877837213019,58
5,25,25,0.0475,1.0,84.0,1.0,0.0,1250.0,0,0.28733155323944953,66
6,27,27,0.05425,1.0,86.0,1.0,0.0,1458.0,0,0.27603742439686446,74
7,29,29,0.0615,1.0,86.0,1.0,0.0,1682.0,0,0.2651872333845482,82
8,31,31,0.06925,1.0,84.0,1.0,0.0,1922.0,0,0.24597944861429066,97
9,33,33,0.0775,1.0,88.0,1.0,0.0,2178.0,0,0.2351291914205393,106
10,35,35,0.08625,1.0,92.0,1.0,0.0,2450.0,0,0.22140300921291578,118
11,37,37,0.09549999999999999,1.0,96.0,1.0,0.0,2738.0,0,0.2105786449780108,128
12,39,39,0.10524999999999998,1.0,96.0,1.0,0.0,3042.0,0,0.19928206508584959,139
13,41,41,0.11549999999999999,1.0,104.0,1.0,0.0,3362.0,0,0.19532621657741422,143
14,43,43,0.12625,1.0,104.0,1.0,0.0,3698.0,0,0.1933778375670545,145
15,45,45,0.1375,1.0,106.0,1.0,0.0,4050.0,0,0.18392362031759005,155
16,47,47,0.14925000000000002,1.0,110.0,1.0,0.0,4418.0,0,0.17758205285258158,162
17,49,49,0.16150000000000003,1.0,106.0,1.0,0.0,4802.0,0,0.1689000894569985,172
18,51,51,0.17425000000000004,1.0,112.0,1.0,0.0,5202.0,0,0.15588314940189665,188
19,53,53,0.18750000000000006,1.0,114.0,1.0,0.0,5618.0,0,0.14752073235222804,199
20,55,55,0.20125000000000007,1.0,118.0,1.0,0.0,6050.0,0,0.13960692067896413,210
21,57,57,0.21550000000000008,1.0,116.0,1.0,0.0,6498.0,0,0.13211764875818974,221
22,59,59,0.23025000000000007,1.0,122.0,1.0,0.0,6962.0,0,0.12011558763406958,240
23,61,61,0.24550000000000005,1.0,124.0,1.0,0.0,7442.0,0,0.110304122230428,257
24,63,63,0.26125000000000004,1.0,128.0,1.0,0.0,7938.0,0,0.09928335366220192,278
